,JSON Data
88,"{""ip"":""74.118.120.220"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""Irvine"",""latitude"":33.69267,""longitude"":-117.81929,""zip_code"":""92606"",""time_zone"":""-07:00"",""asn"":""5693"",""as"":""Latisys-Irvine LLC"",""is_proxy"":false}"
89,"{""ip"":""104.21.36.28"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Francisco"",""latitude"":37.7757,""longitude"":-122.3952,""zip_code"":""94107"",""time_zone"":""-07:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":false}"
90,"{""ip"":""145.14.144.92"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
91,"{""ip"":""103.75.12.220"",""country_code"":""HK"",""country_name"":""Hong Kong"",""region_name"":""Hong Kong"",""city_name"":""Hong Kong"",""latitude"":22.28552,""longitude"":114.15769,""zip_code"":""-"",""time_zone"":""+08:00"",""asn"":""132839"",""as"":""Power Line Datacenter"",""is_proxy"":false}"
92,"{""ip"":""157.7.189.240"",""country_code"":""JP"",""country_name"":""Japan"",""region_name"":""Tokyo"",""city_name"":""Tokyo"",""latitude"":35.689497,""longitude"":139.692317,""zip_code"":""214-0021"",""time_zone"":""+09:00"",""asn"":""7506"",""as"":""INTERQ GMO Internet Inc"",""is_proxy"":false}"
93,"{""ip"":""92.53.96.106"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Sankt-Peterburg"",""city_name"":""Saint Petersburg"",""latitude"":59.89444,""longitude"":30.2642,""zip_code"":""192148"",""time_zone"":""+03:00"",""asn"":""9123"",""as"":""TimeWeb Ltd."",""is_proxy"":false}"
94,"{""ip"":""104.247.81.71"",""country_code"":""CA"",""country_name"":""Canada"",""region_name"":""Ontario"",""city_name"":""Windsor"",""latitude"":42.306247,""longitude"":-83.029606,""zip_code"":""N9A 1H9"",""time_zone"":""-04:00"",""asn"":""206834"",""as"":""Team Internet AG"",""is_proxy"":false}"
95,"{""ip"":""109.237.138.30"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Halle"",""latitude"":50.89355,""longitude"":7.75028,""zip_code"":""06108"",""time_zone"":""+01:00"",""asn"":""45012"",""as"":""dogado GmbH"",""is_proxy"":false}"
96,"{""ip"":""145.14.144.171"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
97,"{""ip"":""145.14.144.151"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
98,"{""ip"":""50.87.145.249"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Utah"",""city_name"":""Provo"",""latitude"":40.213911,""longitude"":-111.634071,""zip_code"":""84606"",""time_zone"":""-06:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
99,"{""ip"":""68.168.118.18"",""country_code"":""CA"",""country_name"":""Canada"",""region_name"":""Quebec"",""city_name"":""Montreal"",""latitude"":45.50884,""longitude"":-73.58781,""zip_code"":""H1A 0A1"",""time_zone"":""-04:00"",""asn"":""36666"",""as"":""GloboTech Communications"",""is_proxy"":false}"
100,"{""ip"":""103.104.99.22"",""country_code"":""ID"",""country_name"":""Indonesia"",""region_name"":""Jakarta Raya"",""city_name"":""Jakarta"",""latitude"":-6.208678,""longitude"":106.845493,""zip_code"":""12850"",""time_zone"":""+07:00"",""asn"":""136889"",""as"":""Dinas Komunikasi dan Inform"",""is_proxy"":false}"
101,"{""ip"":""3.33.130.190"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
102,"{""ip"":""145.14.144.92"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
103,"{""ip"":""81.200.113.129"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Sankt-Peterburg"",""city_name"":""Saint Petersburg"",""latitude"":59.89444,""longitude"":30.2642,""zip_code"":""199406"",""time_zone"":""+03:00"",""asn"":""198610"",""as"":""Beget LLC"",""is_proxy"":false}"
104,"{""ip"":""69.61.21.122"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Georgia"",""city_name"":""Atlanta"",""latitude"":33.753601,""longitude"":-84.390145,""zip_code"":""30303"",""time_zone"":""-04:00"",""asn"":""22653"",""as"":""Cyber Wurx LLC"",""is_proxy"":false}"
105,"{""ip"":""173.236.127.29"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Illinois"",""city_name"":""Chicago"",""latitude"":41.875772,""longitude"":-87.620606,""zip_code"":""60290"",""time_zone"":""-05:00"",""asn"":""32475"",""as"":""SingleHop LLC"",""is_proxy"":false}"
106,"{""ip"":""198.49.23.145"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""New York"",""city_name"":""New York City"",""latitude"":40.7347,""longitude"":-74.0059,""zip_code"":""10014"",""time_zone"":""-04:00"",""asn"":""53831"",""as"":""Squarespace Inc."",""is_proxy"":false}"
107,"{""ip"":""94.73.148.123"",""country_code"":""TR"",""country_name"":""Turkey"",""region_name"":""Istanbul"",""city_name"":""Istanbul"",""latitude"":41.01384,""longitude"":28.94966,""zip_code"":""34080"",""time_zone"":""+03:00"",""asn"":""34619"",""as"":""Cizgi Telekomunikasyon Anonim Sirketi"",""is_proxy"":false}"
108,"{""ip"":""153.92.0.100"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""South Carolina"",""city_name"":""Greenville"",""latitude"":34.852741,""longitude"":-82.394135,""zip_code"":""29601"",""time_zone"":""-04:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
109,"{""ip"":""172.96.187.244"",""country_code"":""CA"",""country_name"":""Canada"",""region_name"":""Ontario"",""city_name"":""Fergus"",""latitude"":43.7001,""longitude"":-80.36638,""zip_code"":""N1M 0A1"",""time_zone"":""-04:00"",""asn"":""32475"",""as"":""SingleHop LLC"",""is_proxy"":false}"
110,"{""ip"":""5.57.226.202"",""country_code"":""ES"",""country_name"":""Spain"",""region_name"":""Valenciana, Comunidad"",""city_name"":""Elda"",""latitude"":38.47783,""longitude"":-0.79157,""zip_code"":""03610"",""time_zone"":""+01:00"",""asn"":""29119"",""as"":""Aire Networks del Mediterraneo SL Unipersonal"",""is_proxy"":false}"
111,"{""ip"":""89.46.105.28"",""country_code"":""IT"",""country_name"":""Italy"",""region_name"":""Toscana"",""city_name"":""Arezzo"",""latitude"":43.461442,""longitude"":11.87696,""zip_code"":""52100"",""time_zone"":""+01:00"",""asn"":""31034"",""as"":""Aruba S.p.A."",""is_proxy"":false}"
112,"{""ip"":""5.101.152.148"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Sankt-Peterburg"",""city_name"":""Saint Petersburg"",""latitude"":59.89444,""longitude"":30.2642,""zip_code"":""199406"",""time_zone"":""+03:00"",""asn"":""198610"",""as"":""Beget LLC"",""is_proxy"":false}"
113,"{""ip"":""145.14.144.151"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
114,"{""ip"":""160.121.155.80"",""country_code"":""ZA"",""country_name"":""South Africa"",""region_name"":""Gauteng"",""city_name"":""Tembisa"",""latitude"":-25.996386,""longitude"":28.226998,""zip_code"":""1693"",""time_zone"":""+02:00"",""asn"":""137951"",""as"":""Clayer Limited"",""is_proxy"":false}"
115,"{""ip"":""173.254.30.236"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Utah"",""city_name"":""Provo"",""latitude"":40.213911,""longitude"":-111.634071,""zip_code"":""84606"",""time_zone"":""-06:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
116,"{""ip"":""208.78.103.41"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Illinois"",""city_name"":""Chicago"",""latitude"":41.875772,""longitude"":-87.620606,""zip_code"":""60290"",""time_zone"":""-05:00"",""asn"":""19994"",""as"":""Rackspace Hosting"",""is_proxy"":false}"
117,"{""ip"":""173.214.171.114"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""New Jersey"",""city_name"":""Secaucus"",""latitude"":40.790013,""longitude"":-74.062078,""zip_code"":""07094"",""time_zone"":""-04:00"",""asn"":""19318"",""as"":""InterServer Inc"",""is_proxy"":false}"
118,"{""ip"":""145.14.144.182"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
119,"{""ip"":""18.119.154.66"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Ohio"",""city_name"":""Columbus"",""latitude"":39.96138,""longitude"":-82.997749,""zip_code"":""43085"",""time_zone"":""-04:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
120,"{""ip"":""5.161.121.167"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Virginia"",""city_name"":""Ashburn"",""latitude"":39.039474,""longitude"":-77.491809,""zip_code"":""20146"",""time_zone"":""-04:00"",""asn"":""213230"",""as"":""Hetzner Online GmbH"",""is_proxy"":false}"
121,"{""ip"":""43.250.142.76"",""country_code"":""AU"",""country_name"":""Australia"",""region_name"":""Queensland"",""city_name"":""Warren"",""latitude"":-23.5,""longitude"":150.28333,""zip_code"":""3805"",""time_zone"":""+10:00"",""asn"":""45638"",""as"":""Synergy Wholesale Pty Ltd"",""is_proxy"":false}"
122,"{""ip"":""5.22.249.61"",""country_code"":""NL"",""country_name"":""Netherlands"",""region_name"":""Groningen"",""city_name"":""Groningen"",""latitude"":53.219174,""longitude"":6.567002,""zip_code"":""9740"",""time_zone"":""+01:00"",""asn"":""39704"",""as"":""CJ2 Hosting B.V."",""is_proxy"":false}"
123,"{""ip"":""72.10.160.82"",""country_code"":""CA"",""country_name"":""Canada"",""region_name"":""Quebec"",""city_name"":""Montreal"",""latitude"":45.50884,""longitude"":-73.58781,""zip_code"":""H1A 0A1"",""time_zone"":""-04:00"",""asn"":""36666"",""as"":""GloboTech Communications"",""is_proxy"":false}"
124,"{""ip"":""5.101.152.224"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Sankt-Peterburg"",""city_name"":""Saint Petersburg"",""latitude"":59.89444,""longitude"":30.2642,""zip_code"":""199406"",""time_zone"":""+03:00"",""asn"":""198610"",""as"":""Beget LLC"",""is_proxy"":false}"
125,"{""ip"":""203.175.174.88"",""country_code"":""SG"",""country_name"":""Singapore"",""region_name"":""Singapore"",""city_name"":""Singapore"",""latitude"":1.289987,""longitude"":103.850281,""zip_code"":""178958"",""time_zone"":""+08:00"",""asn"":""24482"",""as"":""SG.GS"",""is_proxy"":false}"
126,"{""ip"":""3.12.116.161"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Ohio"",""city_name"":""Columbus"",""latitude"":39.96138,""longitude"":-82.997749,""zip_code"":""43085"",""time_zone"":""-04:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
127,"{""ip"":""192.111.147.86"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""New York"",""city_name"":""Rochester"",""latitude"":43.169287,""longitude"":-77.687875,""zip_code"":""14606"",""time_zone"":""-04:00"",""asn"":""31863"",""as"":""Centrilogic Inc."",""is_proxy"":false}"
128,"{""ip"":""104.21.22.189"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Francisco"",""latitude"":37.7757,""longitude"":-122.3952,""zip_code"":""94107"",""time_zone"":""-07:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":false}"
129,"{""ip"":""107.180.58.65"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Virginia"",""city_name"":""Ashburn"",""latitude"":39.039474,""longitude"":-77.491809,""zip_code"":""20146"",""time_zone"":""-04:00"",""asn"":""26496"",""as"":""GoDaddy.com LLC"",""is_proxy"":false}"
130,"{""ip"":""173.254.30.34"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Utah"",""city_name"":""Provo"",""latitude"":40.213911,""longitude"":-111.634071,""zip_code"":""84606"",""time_zone"":""-06:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
131,"{""ip"":""217.11.242.82"",""country_code"":""CZ"",""country_name"":""Czechia"",""region_name"":""Praha, Hlavni mesto"",""city_name"":""Prague"",""latitude"":50.087936,""longitude"":14.420798,""zip_code"":""150 00"",""time_zone"":""+01:00"",""asn"":""15685"",""as"":""Casablanca INT a.s."",""is_proxy"":false}"
132,"{""ip"":""5.101.152.224"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Sankt-Peterburg"",""city_name"":""Saint Petersburg"",""latitude"":59.89444,""longitude"":30.2642,""zip_code"":""199406"",""time_zone"":""+03:00"",""asn"":""198610"",""as"":""Beget LLC"",""is_proxy"":false}"
133,"{""ip"":""5.77.47.2"",""country_code"":""GB"",""country_name"":""United Kingdom of Great Britain and Northern Ireland"",""region_name"":""England"",""city_name"":""Maidenhead"",""latitude"":51.52279,""longitude"":-0.71986,""zip_code"":""SL6"",""time_zone"":""+00:00"",""asn"":""35425"",""as"":""iomart Hosting Limited"",""is_proxy"":false}"
134,"{""ip"":""185.112.248.242"",""country_code"":""MK"",""country_name"":""North Macedonia"",""region_name"":""Kavadarci"",""city_name"":""Kavadarci"",""latitude"":41.43306,""longitude"":22.01194,""zip_code"":""1430"",""time_zone"":""+01:00"",""asn"":""208730"",""as"":""Inel Tehnik Dooel"",""is_proxy"":false}"
135,"{""ip"":""145.14.144.151"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
136,"{""ip"":""145.14.144.92"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
137,"{""ip"":""208.91.197.27"",""country_code"":""VG"",""country_name"":""Virgin Islands (British)"",""region_name"":""Virgin Islands, British"",""city_name"":""Road Town"",""latitude"":18.41667,""longitude"":-64.61667,""zip_code"":""VG1110"",""time_zone"":""-04:00"",""asn"":""40034"",""as"":""Confluence Networks Inc"",""is_proxy"":false}"
138,"{""ip"":""194.59.164.39"",""country_code"":""SG"",""country_name"":""Singapore"",""region_name"":""Singapore"",""city_name"":""Singapore"",""latitude"":1.289987,""longitude"":103.850281,""zip_code"":""178958"",""time_zone"":""+08:00"",""asn"":""47583"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
139,"{""ip"":""199.191.50.184"",""country_code"":""VG"",""country_name"":""Virgin Islands (British)"",""region_name"":""Virgin Islands, British"",""city_name"":""Road Town"",""latitude"":18.41667,""longitude"":-64.61667,""zip_code"":""VG1110"",""time_zone"":""-04:00"",""asn"":""40034"",""as"":""Confluence Networks Inc"",""is_proxy"":false}"
140,"{""ip"":""54.169.36.231"",""country_code"":""SG"",""country_name"":""Singapore"",""region_name"":""Singapore"",""city_name"":""Singapore"",""latitude"":1.289987,""longitude"":103.850281,""zip_code"":""178958"",""time_zone"":""+08:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
141,"{""ip"":""145.14.144.92"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
142,"{""ip"":""104.247.82.51"",""country_code"":""CA"",""country_name"":""Canada"",""region_name"":""Ontario"",""city_name"":""Windsor"",""latitude"":42.276917,""longitude"":-82.996052,""zip_code"":""N8X 4L2"",""time_zone"":""-04:00"",""asn"":""206834"",""as"":""Team Internet AG"",""is_proxy"":false}"
